time,temperature_2m_mean,temperature_2m_max,temperature_2m_min,relative_humidity_2m_mean,pressure_msl_mean,wind_speed_10m_mean,precipitation_sum,pm10_mean,pm2_5_mean,carbon_monoxide_mean,nitrogen_dioxide_mean,sulphur_dioxide_mean,ozone_mean,AQI,AQI_max,month,day_of_week,day_of_year,month_sin,month_cos,doy_sin,doy_cos,AQI_lag1,pm2_5_lag1,temperature_2m_lag1,AQI_lag2,pm2_5_lag2,temperature_2m_lag2,AQI_lag3,pm2_5_lag3,temperature_2m_lag3,AQI_lag5,pm2_5_lag5,temperature_2m_lag5,AQI_lag7,pm2_5_lag7,temperature_2m_lag7,AQI_lag14,pm2_5_lag14,temperature_2m_lag14,AQI_rolling_3d_mean,AQI_rolling_3d_max,AQI_rolling_3d_min,AQI_rolling_3d_std,AQI_rolling_7d_mean,AQI_rolling_7d_max,AQI_rolling_7d_min,AQI_rolling_7d_std,AQI_rolling_14d_mean,AQI_rolling_14d_max,AQI_rolling_14d_min,AQI_rolling_14d_std,AQI_rolling_30d_mean,AQI_rolling_30d_max,AQI_rolling_30d_min,AQI_rolling_30d_std,temp_future_h1,humidity_future_h1,wind_future_h1,temp_future_h2,humidity_future_h2,wind_future_h2,temp_future_h3,humidity_future_h3,wind_future_h3,target_day1,target_day2,target_day3
2023-09-07,34.020833333333336,40.4,28.2,41.125,1003.3666666666667,6.204166666666667,0.0,92.33749999999999,46.38333333333333,770.4583333333334,19.333333333333332,6.054166666666667,97.33333333333333,131.29166666666666,148,9,3,250,-1.0,-1.8369701987210297e-16,-0.9164086366943458,-0.4002439388573056,117.70833333333333,44.05833333333334,33.17916666666667,114.375,36.82083333333333,32.75,107.125,37.46666666666667,33.670833333333334,90.91666666666667,30.883333333333336,33.6,118.625,36.704166666666666,33.795833333333334,105.91666666666667,42.329166666666666,32.800000000000004,113.06944444444444,117.70833333333333,107.125,5.411108259182782,106.83928571428571,118.625,90.91666666666667,10.63189940946176,116.01785714285714,142.58333333333334,90.91666666666667,14.561684611684163,128.25,155.08333333333334,90.91666666666667,18.91883753810216,33.854166666666664,39.958333333333336,6.491666666666667,33.0625,46.333333333333336,7.175,32.541666666666664,55.5,7.720833333333334,111.70833333333333,129.04166666666666,141.95833333333334
2023-09-08,33.854166666666664,40.7,27.8,39.958333333333336,1002.5666666666666,6.491666666666667,0.0,71.09166666666667,38.02916666666667,469.75,9.133333333333333,5.691666666666666,104.08333333333333,111.70833333333333,127,9,4,251,-1.0,-1.8369701987210297e-16,-0.9231578729647039,-0.38442104726885545,131.29166666666666,46.38333333333333,34.020833333333336,117.70833333333333,44.05833333333334,33.17916666666667,114.375,36.82083333333333,32.75,101.125,35.354166666666664,33.15,98.0,31.52916666666667,34.625,121.33333333333333,45.12916666666666,28.579166666666666,121.125,131.29166666666666,114.375,8.960949230472975,108.64880952380953,131.29166666666666,90.91666666666667,13.627906102386117,117.83035714285714,142.58333333333334,90.91666666666667,14.78517340582841,127.57777777777777,155.08333333333334,90.91666666666667,18.417400429202925,33.0625,46.333333333333336,7.175,32.541666666666664,55.5,7.720833333333334,32.2875,60.166666666666664,8.408333333333333,129.04166666666666,141.95833333333334,132.20833333333334
2023-09-09,33.0625,39.3,27.9,46.333333333333336,1001.8583333333332,7.175,0.0,84.5125,49.63333333333333,605.9166666666666,9.925,6.679166666666667,121.45833333333333,129.04166666666666,176,9,5,252,-1.0,-1.8369701987210297e-16,-0.9296339319682695,-0.3684843993077793,111.70833333333333,38.02916666666667,33.854166666666664,131.29166666666666,46.38333333333333,34.020833333333336,117.70833333333333,44.05833333333334,33.17916666666667,107.125,37.46666666666667,33.670833333333334,90.91666666666667,30.883333333333336,33.6,117.875,38.975,28.40833333333333,120.2361111111111,131.29166666666666,111.70833333333333,10.033393318388583,110.60714285714286,131.29166666666666,90.91666666666667,12.802584400348438,117.14285714285714,142.58333333333334,90.91666666666667,14.833456804853052,126.15,155.08333333333334,90.91666666666667,17.90824314146402,32.541666666666664,55.5,7.720833333333334,32.2875,60.166666666666664,8.408333333333333,33.1,54.916666666666664,6.858333333333333,141.95833333333334,132.20833333333334,128.45833333333334
2023-09-10,32.541666666666664,38.1,27.6,55.5,1000.1666666666666,7.720833333333334,0.0,81.61666666666666,48.3125,551.125,8.404166666666667,7.291666666666667,120.29166666666667,141.95833333333334,165,9,6,253,-1.0,-1.8369701987210297e-16,-0.9358348973349941,-0.35243871088460327,129.04166666666666,49.63333333333333,33.0625,111.70833333333333,38.02916666666667,33.854166666666664,131.29166666666666,46.38333333333333,34.020833333333336,114.375,36.82083333333333,32.75,101.125,35.354166666666664,33.15,121.5,47.17083333333333,30.6375,124.01388888888887,131.29166666666666,111.70833333333333,10.71613961033315,116.05357142857143,131.29166666666666,101.125,11.014450585168746,117.94047619047619,142.58333333333334,90.91666666666667,15.172210474943036,125.28194444444443,153.91666666666666,90.91666666666667,17.068895228079406,32.2875,60.166666666666664,8.408333333333333,33.1,54.916666666666664,6.858333333333333,33.65833333333333,53.791666666666664,7.270833333333333,132.20833333333334,128.45833333333334,129.54166666666666
2023-09-11,32.2875,37.0,28.2,60.166666666666664,1001.1083333333332,8.408333333333333,0.0,74.51666666666667,45.4,527.125,9.004166666666666,7.845833333333334,121.875,132.20833333333334,163,9,0,254,-1.0,-1.8369701987210297e-16,-0.9417589340994617,-0.33628873017668287,141.95833333333334,48.3125,32.541666666666664,129.04166666666666,49.63333333333333,33.0625,111.70833333333333,38.02916666666667,33.854166666666664,117.70833333333333,44.05833333333334,33.17916666666667,107.125,37.46666666666667,33.670833333333334,134.58333333333334,46.42083333333333,30.929166666666664,127.56944444444444,141.95833333333334,111.70833333333333,15.178643012591955,121.88690476190474,141.95833333333334,107.125,12.50272457079351,119.40178571428571,142.58333333333334,90.91666666666667,16.47104432187328,124.99861111111112,153.91666666666666,90.91666666666667,16.703201634523555,33.1,54.916666666666664,6.858333333333333,33.65833333333333,53.791666666666664,7.270833333333333,34.00416666666667,56.916666666666664,7.854166666666667,128.45833333333334,129.54166666666666,140.54166666666666
2023-09-12,33.1,38.7,28.1,54.916666666666664,1000.9625,6.858333333333333,0.0,73.42916666666666,45.12083333333334,578.2916666666666,10.216666666666667,5.508333333333333,106.95833333333333,128.45833333333334,147,9,1,255,-1.0,-1.8369701987210297e-16,-0.9474042892438845,-0.32003923622313857,132.20833333333334,45.4,32.2875,141.95833333333334,48.3125,32.541666666666664,129.04166666666666,49.63333333333333,33.0625,131.29166666666666,46.38333333333333,34.020833333333336,114.375,36.82083333333333,32.75,132.58333333333334,50.57083333333333,30.670833333333334,134.4027777777778,141.95833333333334,129.04166666666666,6.732143734299007,125.47023809523809,141.95833333333334,111.70833333333333,11.080349282023654,119.23214285714286,142.58333333333334,90.91666666666667,16.31413800668302,124.92083333333333,153.91666666666666,90.91666666666667,16.662615707404512,33.65833333333333,53.791666666666664,7.270833333333333,34.00416666666667,56.916666666666664,7.854166666666667,33.354166666666664,59.0,10.254166666666666,129.54166666666666,140.54166666666666,141.79166666666666
2023-09-13,33.65833333333333,38.8,28.3,53.791666666666664,1000.7833333333333,7.270833333333333,0.0,78.3875,47.512499999999996,581.2916666666666,10.691666666666668,5.941666666666666,106.875,129.54166666666666,152,9,2,256,-1.0,-1.8369701987210297e-16,-0.9527692922168511,-0.30369503751065885,128.45833333333334,45.12083333333334,33.1,132.20833333333334,45.4,32.2875,141.95833333333334,48.3125,32.541666666666664,111.70833333333333,38.02916666666667,33.854166666666664,117.70833333333333,44.05833333333334,33.17916666666667,142.58333333333334,50.17916666666667,32.69583333333333,134.20833333333334,141.95833333333334,128.45833333333334,6.968679932383328,127.48214285714286,141.95833333333334,111.70833333333333,9.951004309741228,118.9375,142.58333333333334,90.91666666666667,16.090171838973404,125.65,153.91666666666666,90.91666666666667,16.307328142569073,34.00416666666667,56.916666666666664,7.854166666666667,33.354166666666664,59.0,10.254166666666666,32.050000000000004,63.625,8.775,140.54166666666666,141.79166666666666,142.95833333333334
2023-09-14,34.00416666666667,39.1,29.5,56.916666666666664,1002.1750000000001,7.854166666666667,0.0,85.49166666666667,53.1,584.75,9.433333333333334,9.554166666666667,117.0,140.54166666666666,167,9,3,257,-1.0,-1.8369701987210297e-16,-0.9578523554276669,-0.28726097055059635,129.54166666666666,47.512499999999996,33.65833333333333,128.45833333333334,45.12083333333334,33.1,132.20833333333334,45.4,32.2875,129.04166666666666,49.63333333333333,33.0625,131.29166666666666,46.38333333333333,34.020833333333336,118.625,36.704166666666666,33.795833333333334,130.06944444444443,132.20833333333334,128.45833333333334,1.929905965854257,129.17261904761907,141.95833333333334,111.70833333333333,8.970741683339675,118.0059523809524,141.95833333333334,90.91666666666667,14.953237803836043,125.79583333333333,153.91666666666666,90.91666666666667,16.322412157810046,33.354166666666664,59.0,10.254166666666666,32.050000000000004,63.625,8.775,31.141666666666666,61.75,7.829166666666667,141.79166666666666,142.95833333333334,129.91666666666666
2023-09-15,33.354166666666664,38.3,29.4,59.0,1003.2875,10.254166666666666,0.6,81.82083333333334,51.24166666666667,462.9583333333333,6.295833333333333,10.908333333333333,127.70833333333333,141.79166666666666,161,9,4,258,-1.0,-1.8369701987210297e-16,-0.9626519747161487,-0.2707418984477642,140.54166666666666,53.1,34.00416666666667,129.54166666666666,47.512499999999996,33.65833333333333,128.45833333333334,45.12083333333334,33.1,141.95833333333334,48.3125,32.541666666666664,111.70833333333333,38.02916666666667,33.854166666666664,98.0,31.52916666666667,34.625,132.8472222222222,140.54166666666666,128.45833333333334,6.685563496015978,130.49404761904762,141.95833333333334,111.70833333333333,9.961483363116777,119.57142857142857,141.95833333333334,90.91666666666667,16.124411376749315,125.68611111111112,153.91666666666666,90.91666666666667,16.20763979743258,32.050000000000004,63.625,8.775,31.141666666666666,61.75,7.829166666666667,29.462500000000002,67.83333333333333,8.383333333333333,142.95833333333334,129.91666666666666,90.875
2023-09-16,32.050000000000004,36.8,27.8,63.625,1004.1541666666667,8.775,0.0,78.33333333333333,49.40416666666667,488.25,7.208333333333333,9.420833333333333,113.625,142.95833333333334,146,9,5,259,-1.0,-1.8369701987210297e-16,-0.9671667297977312,-0.2541427094613622,141.79166666666666,51.24166666666667,33.354166666666664,140.54166666666666,53.1,34.00416666666667,129.54166666666666,47.512499999999996,33.65833333333333,132.20833333333334,45.4,32.2875,129.04166666666666,49.63333333333333,33.0625,90.91666666666667,30.883333333333336,33.6,137.29166666666663,141.79166666666666,129.54166666666666,6.740734381356487,134.79166666666669,141.95833333333334,128.45833333333334,6.335525936249522,122.69940476190477,141.95833333333334,90.91666666666667,15.863333408860186,125.84583333333333,153.91666666666666,90.91666666666667,16.345999772812824,31.141666666666666,61.75,7.829166666666667,29.462500000000002,67.83333333333333,8.383333333333333,29.787499999999998,66.54166666666667,7.9624999999999995,129.91666666666666,90.875,70.70833333333333
